,Tipo de Fuente,Fuente,Descripción,Sector,País/Región,Idioma,URL,RSS,Observaciones,Generado?,Probado?,OBSERVACIONES NUESTRAS,TIENE RSS EN LA SECCIÓN DE REDES SOCIALES?,RSS ACTUAL LLEVA A ALGÚN LADO?
21,,Fundación BBVA,Eventos,Gral.,Argentina,Español,https://www.fbbva.es/agenda/,,,,,,,
,,,Convocatorias,Gral.,Argentina,Español,https://www.fbbva.es/convocatorias/ ,,Anual. No dinerario,,,URL modificado,No,
22,,Fundación Sadosky,Novedades,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/novedades/,,,,,,,
,,,Vinculación Tecnológica,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/vinculacion-tecnologica/,,,,,,,
,,,Ciencia de Datos e Inteligencia Artificial,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/ciencia-de-datos-e-inteligencia-artificial/,,,,,,,
,,,"TIC, Justicia",Gral.,Argentina,Español,https://fundacionsadosky.org.ar/tic-justicia/,,,,,,,
,,,Seguridad en TIC,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/seguridad-en-tic/,,,,,,,
,,,Proyectos de software,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/proyectos-software-organismos-publicos/,,,,,,,
,,,Vocaciones de TIC y Educación,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/vocaciones-educacion/,,,,,,,
,,,Publicaciones,Gral.,Argentina,Español,https://fundacionsadosky.org.ar/publicaciones/,,,,,,,
,,,Convocatorias,Gral.,Argentina,Español,http://www.fundacionsadosky.org.ar/convocatorias/,,Revisar web - No hay financiamiento en convocatorias,,,URL correcto pero convocatoria vencida,No,
23,Emprendedores,Empretec,Noticias,Gral.,Argentina,Español,https://empretec.org.ar/noticias/,,,,,,,
,,,Formación,Gral.,Argentina,Español,https://empretec.org.ar/formacion/,,,,,,,
,,,Proyectos,Gral.,Argentina,Español,https://empretec.org.ar/proyectos/,,,,,,,
,,,Instagram,Gral.,Argentina,Español,https://www.instagram.com/empretecarg/,,,,,,,
,,,Concursos,Gral.,Argentina,Español,https://empretec.org.ar/concurso/,,Anual,,,URL modificado,No,
25,Tecnologías Médicas,CONICET,Empleo,CyT,Argentina,Español,https://convocatorias.conicet.gov.ar/carrera-del-investigador/,,,,,,,
,,,Becas,CyT,Argentina,Español,https://convocatorias.conicet.gov.ar/becas/,https://convocatorias.conicet.gov.ar/feed/,No anda el RSS,,,URL correcto,No,No
,,,Financiamiento de Proyectos,CyT,Argentina,Español,https://convocatorias.conicet.gov.ar/investigacion-y-desarrollo/,,,,,URL modificado,No,
,,,Financiamiento de actividades de apoyo,CyT,Argentina,Español,https://convocatorias.conicet.gov.ar/convocatorias-abiertas/,,,,,URL modificado,No,
,,,Coop. Internacional,CyT,Argentina,Español,https://proyectosinv.conicet.gov.ar/convocatorias-y-oportunidades/,,,,,URL modificado,No,
,,,Convocatoria becas Coop. Internacional,CyT,Argentina,Español,https://proyectosinv.conicet.gov.ar/convocatorias-y-oportunidades/,,,,,,,
,,,Noticias,CyT,Argentina,Español,https://www.conicet.gov.ar/noticias-conicet/,,,,,,,
,,,Iniciativas,CyT,Argentina,Español,https://www.conicet.gov.ar/iniciativas/,,,,,,,
27,Emprendedores,Swiss Medical Group,Concursos,Tecnología,Argentina,Español,https://www.swissmedical.com.ar/subsitio/innova/?fbclid=IwAR0ASO0MRusL7KiKbJJpvzeMauucsSvD7aMjmqnUBQxN-WkRMcPokNXIvSQ,,,,,URL correcto pero convocatoria vencida,No,
28,Tecnologías Médicas - Emprendedores,INTI,Publicaciones,Tecnología,Argentina,Español,https://www.inti.gob.ar/publicaciones,,,,,,,
,,,Noticias,Tecnología,Argentina,Español,https://www.argentina.gob.ar/inti/noticias,,,,,,,
,,,Biblioteca,Tecnología,Argentina,Español,http://www-biblio.inti.gob.ar/,,,,,,,
,,,Empleo,Tecnología,Argentina,Español,https://www.inti.gob.ar/contrataciones,,,,,,,
,,,Capacitaciones,Tecnología,Argentina,Español,https://www.inti.gob.ar/capacitaciones,,,,,,,
,,,INCALIN,Tecnología,Argentina,Español,https://www.argentina.gob.ar/inti/incalin,,,,,,,
,,,Servicios industriales,Tecnología,Argentina,Español,https://www.inti.gob.ar/areas/servicios-industriales,,,,,,,
,,,Desarrollo Tecnológico e Innovación,Tecnología,Argentina,Español,https://www.inti.gob.ar/areas/desarrollo-tecnologico-e-innovacion,,,,,,,
,,,EPD,Tecnología,Argentina,Español,https://epd.inti.gob.ar/,,,,,,,
,,,Servicios Regulados,Tecnología,Argentina,Español,https://www.inti.gob.ar/areas/servicios-regulados,,,,,,,
,,,VincularIndustria,Tecnología,Argentina,Español,https://vincularindustria.inti.gob.ar/,,,,,,,
,,,Asistencia Regional,Tecnología,Argentina,Español,https://www.inti.gob.ar/areas/asistencia-regional,,,,,,,
,,,Metrología y Calidad,Tecnología,Argentina,Español,https://www.inti.gob.ar/areas/metrologia-y-calidad,,,,,,,
30,Tecnologías Médicas,Red OPP,Convocatorias ,,Argentina,Español,https://www.argentina.gob.ar/ciencia/agencia/red-opp/convocatorias,,,,,,,
,,,Capacitaciones,,Argentina,Español,https://www.argentina.gob.ar/ciencia/agencia/red-opp/capacitaciones,,,,,,,
31,,COFECYT,Financiamiento,,Argentina,Español,https://www.argentina.gob.ar/ciencia/cofecyt/convocatorias-abiertas,,,,,,,
,,,Proyectos,,Argentina,Español,https://www.argentina.gob.ar/ciencia/cofecyt/proyectos,,,,,,,
,,,Actas y Resoluciones,,Argentina,Español,https://www.argentina.gob.ar/ciencia/cofecyt/actasyresoluciones,,,,,,,
32,,CIECTI,Publicaciones,,Argentina,Español,https://www.ciecti.org.ar/publicaciones/,,,,,,,
,,,Novedades,,Argentina,Español,https://www.ciecti.org.ar/novedades-ispa/,,,,,,,
,,,Actividades,,Argentina,Español,https://www.ciecti.org.ar/cat/actividades/,,,,,,,
,,,Noticias,,Argentina,Español,https://www.ciecti.org.ar/cat/noticias/,,,,,,,
33,,CAEHFA,Novedades,,Argentina,Español,https://www.caehfa.org.ar/category/novedades/,,,,,,,
,,,Gestión de archivos,,Argentina,Español,https://www.caehfa.org.ar/category/gestion/,,,,,,,
,,,Documentos escenciales,,Argentina,Español,https://www.caehfa.org.ar/category/documentos-esenciales/,,,,,,,
34,,CAFIME,Novedades,,Argentina,Español,http://www.cafime.com/noticias.php,,,,,,,
36,,CADIEM,Novedades,,Argentina,Español,https://cadiem.org.ar/novedades/,,,,,,,
37,,CADIT,Eventos,,Argentina,Español,https://www.cadit.com.ar/calendario-de-eventos,,,,,,,
38,,CADIME,Eventos,,Argentina,Español,https://cadime.com.ar/institucional/eventos/,,,,,,,
,,,Capacitaciones,,Argentina,Español,https://cadime.com.ar/capacitacion/capacitacion-cadime-dpt/propuestas-de-capacitacion/,,,,,,,
40,Emprendedores,EVENTBRITE,Eventos: CABA,,Argentina,Español,https://www.eventbrite.com.ar/d/argentina--ciudad-de-buenos-aires/emprendedores/?page=1,,,,,,,
,,,Eventos: Córdoba,,Argentina,Español,https://www.eventbrite.com.ar/d/argentina--c%C3%B3rdoba/emprendedores/?page=1,,,,,,,
,,,Eventos: Santa Fé,,Argentina,Español,https://www.eventbrite.com.ar/d/united-states/emprendedores/?page=1&bbox=-60.74832570000001%2C-31.6730041%2C-60.664188499999966%2C-31.5632813,,,,,,,
,,,Eventos: Corrientes,,Argentina,Español,https://www.eventbrite.com.ar/d/united-states/emprendedores/?page=1&bbox=-58.86344029999998%2C-27.5340996%2C-58.72133299999996%2C-27.4384037,,,,,,,
,,,Eventos: Entre Ríos,,Argentina,Español,https://www.eventbrite.com.ar/d/argentina--entre-rios/emprendedores/?page=1,,,,,,,
41,,IEBS: emprendedores,Eventos,,Global,Español,https://www.iebschool.com/eventos/,,,,,,,
,,,Masters,,Global,Español,https://www.iebschool.com/emprendedores/masters/,,,,,,,
,,,Cursos,,Global,Español,https://www.iebschool.com/emprendedores/cursos/,,,,,,,
,,,Postgrados,,Global,Español,https://www.iebschool.com/emprendedores/postgrados/,,,,,,,
,,,Seminarios,,Global,Español,https://www.iebschool.com/seminarios/,,,,,,,
,,,Webinars,,Global,Español,https://www.iebschool.com/webinars/,,,,,,,
,,,Concursos,,Global,Español,https://www.iebschool.com/conocenos/becas-y-ayudas/concurso-emprendedores/,,,,,,,
42,,DIRIGENTES DIGITAL,Noticias,,España,Español,https://dirigentesdigital.com/,,,,,,,
43,,Agencia Argentina de Inversiones y Comercio Internacional,Capacitaciones,,Argentina,Español,https://aulavirtual.inversionycomercio.ar/course/index.php#,,,,,,,
,,,Premio EXPORTAR,,Argentina,Español,,,,,,,,
,,,Eventos,,Argentina,Español,https://www.inversionycomercio.ar/calendario,,,,,,,
,,,Novedades,,Argentina,Español,https://www.inversionycomercio.ar/novedades,,,,,,,
44,,Industria y Desarrollo Productivo,Financiamiento,,Argentina,Español,https://www.argentina.gob.ar/produccion/financiamiento,,,,,,,
,,,Beneficios impositivos,,Argentina,Español,https://www.argentina.gob.ar/produccion/beneficios-impositivos,,,,,,,
,,,Capacitaciones,,Argentina,Español,https://www.argentina.gob.ar/produccion/capacitacion,,,,,,,
,,,Herramientas Digitales,,Argentina,Español,https://www.argentina.gob.ar/produccion/economia-del-conocimiento-y-transformacion-digital,,,,,,,
,,,Datos productivos,,Argentina,Español,https://www.argentina.gob.ar/produccion/datos-productivos,,,,,,,
,,,Novedades,,Argentina,Español,https://www.argentina.gob.ar/produccion/noticias,,,,,,,
45,,Economía del conocimiento,Economía del conocimiento,,Argentina,Español,https://www.argentina.gob.ar/economia/conocimiento,,,,,,,
46,Tecnologías Médicas,Ministerio de Salud,Capacitaciones,,Argentina,Español,https://www.argentina.gob.ar/salud/capacitaciones,,,,,,,
,,,Trámites y Servicios,,Argentina,Español,https://www.argentina.gob.ar/salud/tramites-y-servicios,,,,,,,
,,,Boletín Epidemiológico,,Argentina,Español,https://bancos.salud.gob.ar/bancos/materiales-para-equipos-de-salud/soporte/boletines-epidemiologicos/,,,,,,,
,,,Legislación,,Argentina,Español,http://leg.msal.gov.ar/,,,,,,,
,,,Seguimiento de precios,,Argentina,Español,https://www.argentina.gob.ar/salud/seguimiento-precios,,,,,,,
47,Tecnologías Médicas - Emprendedores,Cancillería,Tradenet,,Argentina,Español,https://www.cancilleria.gob.ar/es/argentinatradenet,,,,,,,
,,,MERCOSUR- Normativas,,Argentina,Español,https://www.mercosur.int/documentos-y-normativa/normativa/,,,,,,,
,,,MERCOSUR- Estadísticas,,Argentina,Español,https://estadisticas.mercosur.int/,,,,,,,
48,Emprendedores,Emplifi,Centro de Recursos,,Global,Inglés,https://emplifi.io/resources,,,,,,,
,,,Novedades,,Global,Inglés,https://emplifi.io/press,,,,,,,
,,,Empleo,,Global,Inglés,https://emplifi.io/careers,,,,,,,
